id,version_date,item,open,high,low,close,up_or_down,mapping,refresh_date
15340,2011-09-06,Au9999,388.0,395.3,387.5,393.48,5.89,1.0,2022-01-04 02:27:46
15346,2011-09-07,Au9999,392.0,392.0,376.68,379.49,-13.99,-1.0,2022-01-04 02:27:46
15352,2011-09-08,Au9999,379.49,381.0,371.8,380.9,1.41,1.0,2022-01-04 02:27:46
15359,2011-09-09,Au9999,383.6,387.3,381.67,386.93,6.03,1.0,2022-01-04 02:27:46
15365,2011-09-13,Au9999,379.0,379.95,376.5,377.5,-9.43,-1.0,2022-01-04 02:27:46
15371,2011-09-14,Au9999,378.65,381.99,376.0,378.0,0.5,1.0,2022-01-04 02:27:46
15377,2011-09-15,Au9999,379.5,379.5,373.5,374.98,-3.02,-1.0,2022-01-04 02:27:46
15384,2011-09-16,Au9999,374.98,374.98,354.98,366.93,-8.05,-1.0,2022-01-04 02:27:46
15392,2011-08-19,Au9999,374.0,381.5,371.65,381.48,12.11,1.0,2022-01-04 02:27:46
15398,2011-08-22,Au9999,381.48,390.16,381.48,389.8,8.32,1.0,2022-01-04 02:27:46
15404,2011-08-23,Au9999,385.0,392.2,383.12,387.86,-1.94,-1.0,2022-01-04 02:27:46
15410,2011-08-24,Au9999,384.0,388.5,379.9,380.45,-7.41,-1.0,2022-01-04 02:27:46
15416,2011-08-25,Au9999,386.0,386.0,358.9,361.01,-19.44,-1.0,2022-01-04 02:27:46
15422,2011-08-26,Au9999,361.01,368.9,353.0,368.84,7.83,1.0,2022-01-04 02:27:46
15428,2011-08-29,Au9999,368.84,376.99,368.84,375.5,6.66,1.0,2022-01-04 02:27:46
15434,2011-08-30,Au9999,375.5,375.5,366.1,371.05,-4.45,-1.0,2022-01-04 02:27:46
15440,2011-08-31,Au9999,378.0,378.9,374.0,377.69,6.64,1.0,2022-01-04 02:27:46
15446,2011-09-01,Au9999,379.45,379.45,374.0,375.11,-2.58,-1.0,2022-01-04 02:27:46
15452,2011-08-05,Au9999,344.8,348.0,341.8,344.95,0.15,1.0,2022-01-04 02:27:46
15458,2011-08-08,Au9999,349.5,354.8,349.5,352.64,7.69,1.0,2022-01-04 02:27:46
15464,2011-08-09,Au9999,353.0,363.8,350.61,360.87,8.23,1.0,2022-01-04 02:27:46
15470,2011-08-10,Au9999,363.15,363.6,356.52,361.75,0.88,1.0,2022-01-04 02:27:46
15477,2011-08-11,Au9999,364.0,374.5,363.01,368.2,6.45,1.0,2022-01-04 02:27:46
15483,2011-08-12,Au9999,368.2,372.0,361.38,362.79,-5.41,-1.0,2022-01-04 02:27:46
15490,2011-08-15,Au9999,363.0,363.0,358.6,359.51,-3.28,-1.0,2022-01-04 02:27:46
15496,2011-08-16,Au9999,362.3,365.25,358.7,364.76,5.25,1.0,2022-01-04 02:27:46
15502,2011-08-17,Au9999,366.41,368.55,363.41,368.0,3.24,1.0,2022-01-04 02:27:46
15508,2011-08-18,Au9999,368.0,369.5,366.5,369.37,1.37,1.0,2022-01-04 02:27:46
15514,2011-07-22,Au9999,333.71,333.71,329.7,329.7,-3.47,-1.0,2022-01-04 02:27:46
15520,2011-07-25,Au9999,333.9,335.65,333.9,335.5,5.8,1.0,2022-01-04 02:27:46
15526,2011-07-26,Au9999,335.6,335.9,334.5,334.5,-1.0,-1.0,2022-01-04 02:27:46
15532,2011-07-27,Au9999,335.1,336.3,334.1,336.1,1.6,1.0,2022-01-04 02:27:46
15538,2011-07-28,Au9999,336.5,337.0,334.4,334.84,-1.26,-1.0,2022-01-04 02:27:46
15545,2011-07-29,Au9999,336.41,336.41,333.1,334.0,-0.84,-1.0,2022-01-04 02:27:46
15551,2011-08-01,Au9999,334.0,334.2,333.6,333.98,-0.02,-1.0,2022-01-04 02:27:46
15557,2011-08-02,Au9999,336.0,336.5,334.0,336.4,2.42,1.0,2022-01-04 02:27:46
15563,2011-08-03,Au9999,339.0,346.0,337.11,345.88,9.48,1.0,2022-01-04 02:27:46
15570,2011-08-04,Au9999,345.3,345.95,344.01,344.8,-1.08,-1.0,2022-01-04 02:27:46
15576,2011-07-08,Au9999,319.98,319.98,318.0,318.98,-0.22,-1.0,2022-01-04 02:27:46
15582,2011-07-11,Au9999,321.0,322.3,321.0,321.89,2.91,1.0,2022-01-04 02:27:46
15588,2011-07-12,Au9999,322.7,323.3,321.0,322.27,0.38,1.0,2022-01-04 02:27:46
15594,2011-07-13,Au9999,322.0,326.95,322.0,326.81,4.54,1.0,2022-01-04 02:27:46
15600,2011-07-14,Au9999,328.0,330.0,326.85,329.08,2.27,1.0,2022-01-04 02:27:46
15606,2011-07-15,Au9999,330.5,330.9,327.08,327.2,-1.88,-1.0,2022-01-04 02:27:46
15612,2011-07-18,Au9999,327.2,331.85,327.2,331.55,4.35,1.0,2022-01-04 02:27:46
15618,2011-07-19,Au9999,327.7,334.0,327.7,333.94,2.39,1.0,2022-01-04 02:27:46
